"Data","estimate","lower","upper","Boletim ultimo","estimate Cumsum","lower Cumsum","upper Cumsum","Boletim Cumsum"
2020-03-15,1,1,1,1,1,1,1,1
2020-03-16,3,3,4,3,4,4,5,4
2020-03-17,3,3,4,3,7,7,9,7
2020-03-18,5,5,6,6,12,12,15,13
2020-03-19,7,7,10,7,19,19,25,20
2020-03-20,15,14,18,14,34,33,43,34
2020-03-21,14,13,18,13,48,46,61,47
2020-03-22,19,17,24,17,67,63,85,64
2020-03-23,42,39,48,37,109,102,133,101
2020-03-24,36,32,42,34,145,134,175,135
2020-03-25,37,33,44,33,182,167,219,168
2020-03-26,50,45,58,47,232,212,277,215
2020-03-27,61,55,70,56,293,267,347,271
2020-03-28,75,69,85,66,368,336,432,337
2020-03-29,75,68,86,64,443,404,518,401
2020-03-30,103,95,115,86,546,499,633,487
2020-03-31,106,97,119,90,652,596,752,577
2020-04-01,119,109,132,100,771,705,884,677
2020-04-02,131,120,145,110,902,825,1029,787
2020-04-03,155,142,171,132,1057,967,1200,919
2020-04-04,174,161,193,146,1231,1128,1393,1065
2020-04-05,182,167,201,149,1413,1295,1594,1214
2020-04-06,194,179,215,157,1607,1474,1809,1371
2020-04-07,208,191,230,166,1815,1665,2039,1537
2020-04-08,212,194,234,173,2027,1859,2273,1710
2020-04-09,177,160,197,143,2204,2019,2470,1853
2020-04-10,238,218,262.025,191,2442,2237,2732.025,2044
2020-04-11,217,198,240,168,2659,2435,2972.025,2212
2020-04-12,271,248,298,209,2930,2683,3270.025,2421
2020-04-13,283,259,312,204,3213,2942,3582.025,2625
2020-04-14,266,242,294,195,3479,3184,3876.025,2820
2020-04-15,287,261,317,213,3766,3445,4193.025,3033
2020-04-16,288,261,319,218,4054,3706,4512.025,3251
2020-04-17,286,259,318,212,4340,3965,4830.025,3463
2020-04-18,316,287,351,231,4656,4252,5181.025,3694
2020-04-19,297,268,332,214,4953,4520,5513.025,3908
2020-04-20,359,326,397,255,5312,4846,5910.025,4163
2020-04-21,333,300,370,226,5645,5146,6280.025,4389
2020-04-22,348,314,388,239,5993,5460,6668.025,4628
2020-04-23,355,318,397,247,6348,5778,7065.025,4875
2020-04-24,333,296,375,225,6681,6074,7440.025,5100
2020-04-25,335,297,378,221,7016,6371,7818.025,5321
2020-04-26,399,354,449,237,7415,6725,8267.025,5558
2020-04-27,348,305,397,214,7763,7030,8664.025,5772
2020-04-28,399,350,454,228,8162,7380,9118.025,6000
2020-04-29,336,291,389,221,8498,7671,9507.025,6221
2020-04-30,243,202,289,161,8741,7873,9796.025,6382
2020-05-01,197,160,240,164,8938,8033,10036.025,6546
2020-05-02,108,82,141,143,9046,8115,10177.025,6689
2020-05-03,33,18,56,139,9079,8133,10233.025,6828
2020-05-04,22,8,42,123,9101,8141,10275.025,6951
2020-05-05,20,6,43,95,9121,8147,10318.025,7046
2020-05-06,21,5,52,11,9142,8152,10370.025,7057
