"","dt_evoluca","N","Cum"
"1",2020-03-12,1,1
"2",2020-03-15,1,2
"3",2020-03-16,3,5
"4",2020-03-17,4,9
"5",2020-03-18,8,17
"6",2020-03-19,10,27
"7",2020-03-20,18,45
"8",2020-03-21,15,60
"9",2020-03-22,21,81
"10",2020-03-23,36,117
"11",2020-03-24,38,155
"12",2020-03-25,42,197
"13",2020-03-26,56,253
"14",2020-03-27,62,315
"15",2020-03-28,75,390
"16",2020-03-29,71,461
"17",2020-03-30,92,553
"18",2020-03-31,114,667
"19",2020-04-01,115,782
"20",2020-04-02,140,922
"21",2020-04-03,161,1083
"22",2020-04-04,185,1268
"23",2020-04-05,196,1464
"24",2020-04-06,181,1645
"25",2020-04-07,213,1858
"26",2020-04-08,196,2054
"27",2020-04-09,202,2256
"28",2020-04-10,239,2495
"29",2020-04-11,240,2735
"30",2020-04-12,290,3025
"31",2020-04-13,310,3335
"32",2020-04-14,289,3624
"33",2020-04-15,333,3957
"34",2020-04-16,339,4296
"35",2020-04-17,351,4647
"36",2020-04-18,385,5032
"37",2020-04-19,434,5466
"38",2020-04-20,478,5944
"39",2020-04-21,459,6403
"40",2020-04-22,563,6966
"41",2020-04-23,598,7564
"42",2020-04-24,641,8205
"43",2020-04-25,675,8880
"44",2020-04-26,682,9562
"45",2020-04-27,704,10266
"46",2020-04-28,783,11049
"47",2020-04-29,815,11864
"48",2020-04-30,825,12689
"49",2020-05-01,841,13530
"50",2020-05-02,850,14380
"51",2020-05-03,901,15281
"52",2020-05-04,933,16214
"53",2020-05-05,993,17207
"54",2020-05-06,928,18135
"55",2020-05-07,948,19083
"56",2020-05-08,1011,20094
"57",2020-05-09,1007,21101
"58",2020-05-10,1009,22110
"59",2020-05-11,1006,23116
"60",2020-05-12,1055,24171
"61",2020-05-13,1042,25213
"62",2020-05-14,1081,26294
"63",2020-05-15,1012,27306
"64",2020-05-16,1006,28312
"65",2020-05-17,1032,29344
"66",2020-05-18,1030,30374
"67",2020-05-19,1046,31420
"68",2020-05-20,960,32380
"69",2020-05-21,981,33361
"70",2020-05-22,1048,34409
"71",2020-05-23,940,35349
"72",2020-05-24,876,36225
"73",2020-05-25,1030,37255
"74",2020-05-26,896,38151
"75",2020-05-27,935,39086
"76",2020-05-28,920,40006
"77",2020-05-29,964,40970
"78",2020-05-30,895,41865
"79",2020-05-31,833,42698
"80",2020-06-01,922,43620
"81",2020-06-02,886,44506
"82",2020-06-03,870,45376
"83",2020-06-04,896,46272
"84",2020-06-05,832,47104
"85",2020-06-06,894,47998
"86",2020-06-07,768,48766
"87",2020-06-08,824,49590
"88",2020-06-09,794,50384
"89",2020-06-10,847,51231
"90",2020-06-11,803,52034
"91",2020-06-12,832,52866
"92",2020-06-13,842,53708
"93",2020-06-14,777,54485
"94",2020-06-15,802,55287
"95",2020-06-16,847,56134
"96",2020-06-17,844,56978
"97",2020-06-18,772,57750
"98",2020-06-19,791,58541
"99",2020-06-20,772,59313
"100",2020-06-21,778,60091
"101",2020-06-22,807,60898
"102",2020-06-23,745,61643
"103",2020-06-24,789,62432
"104",2020-06-25,764,63196
"105",2020-06-26,724,63920
"106",2020-06-27,730,64650
"107",2020-06-28,755,65405
"108",2020-06-29,813,66218
"109",2020-06-30,761,66979
"110",2020-07-01,741,67720
"111",2020-07-02,808,68528
"112",2020-07-03,716,69244
"113",2020-07-04,735,69979
"114",2020-07-05,787,70766
"115",2020-07-06,745,71511
"116",2020-07-07,771,72282
"117",2020-07-08,761,73043
"118",2020-07-09,774,73817
"119",2020-07-10,734,74551
"120",2020-07-11,701,75252
"121",2020-07-12,821,76073
"122",2020-07-13,787,76860
"123",2020-07-14,778,77638
"124",2020-07-15,749,78387
"125",2020-07-16,720,79107
"126",2020-07-17,738,79845
"127",2020-07-18,678,80523
"128",2020-07-19,740,81263
"129",2020-07-20,675,81938
"130",2020-07-21,742,82680
"131",2020-07-22,720,83400
"132",2020-07-23,625,84025
"133",2020-07-24,660,84685
"134",2020-07-25,636,85321
"135",2020-07-26,582,85903
"136",2020-07-27,593,86496
"137",2020-07-28,531,87027
"138",2020-07-29,554,87581
"139",2020-07-30,476,88057
"140",2020-07-31,355,88412
"141",2020-08-01,263,88675
"142",2020-08-02,138,88813
"143",2020-08-03,30,88843
