"","dt_evoluca","N","Cum"
"1",2020-03-12,1,1
"2",2020-03-15,1,2
"3",2020-03-16,3,5
"4",2020-03-17,4,9
"5",2020-03-18,8,17
"6",2020-03-19,10,27
"7",2020-03-20,18,45
"8",2020-03-21,15,60
"9",2020-03-22,21,81
"10",2020-03-23,36,117
"11",2020-03-24,37,154
"12",2020-03-25,40,194
"13",2020-03-26,55,249
"14",2020-03-27,61,310
"15",2020-03-28,74,384
"16",2020-03-29,71,455
"17",2020-03-30,93,548
"18",2020-03-31,114,662
"19",2020-04-01,115,777
"20",2020-04-02,135,912
"21",2020-04-03,160,1072
"22",2020-04-04,179,1251
"23",2020-04-05,187,1438
"24",2020-04-06,180,1618
"25",2020-04-07,210,1828
"26",2020-04-08,193,2021
"27",2020-04-09,197,2218
"28",2020-04-10,240,2458
"29",2020-04-11,237,2695
"30",2020-04-12,283,2978
"31",2020-04-13,301,3279
"32",2020-04-14,275,3554
"33",2020-04-15,332,3886
"34",2020-04-16,338,4224
"35",2020-04-17,350,4574
"36",2020-04-18,378,4952
"37",2020-04-19,429,5381
"38",2020-04-20,465,5846
"39",2020-04-21,455,6301
"40",2020-04-22,550,6851
"41",2020-04-23,584,7435
"42",2020-04-24,620,8055
"43",2020-04-25,651,8706
"44",2020-04-26,658,9364
"45",2020-04-27,686,10050
"46",2020-04-28,758,10808
"47",2020-04-29,774,11582
"48",2020-04-30,790,12372
"49",2020-05-01,805,13177
"50",2020-05-02,810,13987
"51",2020-05-03,861,14848
"52",2020-05-04,893,15741
"53",2020-05-05,946,16687
"54",2020-05-06,878,17565
"55",2020-05-07,895,18460
"56",2020-05-08,896,19356
"57",2020-05-09,892,20248
"58",2020-05-10,868,21116
"59",2020-05-11,888,22004
"60",2020-05-12,922,22926
"61",2020-05-13,917,23843
"62",2020-05-14,966,24809
"63",2020-05-15,884,25693
"64",2020-05-16,898,26591
"65",2020-05-17,909,27500
"66",2020-05-18,930,28430
"67",2020-05-19,913,29343
"68",2020-05-20,860,30203
"69",2020-05-21,884,31087
"70",2020-05-22,959,32046
"71",2020-05-23,864,32910
"72",2020-05-24,783,33693
"73",2020-05-25,926,34619
"74",2020-05-26,793,35412
"75",2020-05-27,844,36256
"76",2020-05-28,799,37055
"77",2020-05-29,855,37910
"78",2020-05-30,791,38701
"79",2020-05-31,744,39445
"80",2020-06-01,816,40261
"81",2020-06-02,785,41046
"82",2020-06-03,763,41809
"83",2020-06-04,766,42575
"84",2020-06-05,698,43273
"85",2020-06-06,779,44052
"86",2020-06-07,654,44706
"87",2020-06-08,710,45416
"88",2020-06-09,708,46124
"89",2020-06-10,714,46838
"90",2020-06-11,691,47529
"91",2020-06-12,691,48220
"92",2020-06-13,700,48920
"93",2020-06-14,660,49580
"94",2020-06-15,684,50264
"95",2020-06-16,708,50972
"96",2020-06-17,691,51663
"97",2020-06-18,651,52314
"98",2020-06-19,607,52921
"99",2020-06-20,645,53566
"100",2020-06-21,623,54189
"101",2020-06-22,640,54829
"102",2020-06-23,599,55428
"103",2020-06-24,616,56044
"104",2020-06-25,579,56623
"105",2020-06-26,504,57127
"106",2020-06-27,537,57664
"107",2020-06-28,547,58211
"108",2020-06-29,558,58769
"109",2020-06-30,477,59246
"110",2020-07-01,474,59720
"111",2020-07-02,464,60184
"112",2020-07-03,355,60539
"113",2020-07-04,331,60870
"114",2020-07-05,320,61190
"115",2020-07-06,208,61398
"116",2020-07-07,23,61421
