"","dt_evoluca","N","Cum"
"1",2020-03-15,1,1
"2",2020-03-16,3,4
"3",2020-03-17,4,8
"4",2020-03-18,8,16
"5",2020-03-19,9,25
"6",2020-03-20,18,43
"7",2020-03-21,15,58
"8",2020-03-22,20,78
"9",2020-03-23,38,116
"10",2020-03-24,37,153
"11",2020-03-25,39,192
"12",2020-03-26,53,245
"13",2020-03-27,59,304
"14",2020-03-28,74,378
"15",2020-03-29,70,448
"16",2020-03-30,89,537
"17",2020-03-31,118,655
"18",2020-04-01,115,770
"19",2020-04-02,133,903
"20",2020-04-03,162,1065
"21",2020-04-04,180,1245
"22",2020-04-05,179,1424
"23",2020-04-06,174,1598
"24",2020-04-07,194,1792
"25",2020-04-08,188,1980
"26",2020-04-09,190,2170
"27",2020-04-10,235,2405
"28",2020-04-11,219,2624
"29",2020-04-12,267,2891
"30",2020-04-13,282,3173
"31",2020-04-14,253,3426
"32",2020-04-15,306,3732
"33",2020-04-16,317,4049
"34",2020-04-17,317,4366
"35",2020-04-18,335,4701
"36",2020-04-19,367,5068
"37",2020-04-20,417,5485
"38",2020-04-21,374,5859
"39",2020-04-22,443,6302
"40",2020-04-23,470,6772
"41",2020-04-24,488,7260
"42",2020-04-25,542,7802
"43",2020-04-26,565,8367
"44",2020-04-27,525,8892
"45",2020-04-28,587,9479
"46",2020-04-29,577,10056
"47",2020-04-30,547,10603
"48",2020-05-01,612,11215
"49",2020-05-02,619,11834
"50",2020-05-03,661,12495
"51",2020-05-04,679,13174
"52",2020-05-05,704,13878
"53",2020-05-06,645,14523
"54",2020-05-07,648,15171
"55",2020-05-08,706,15877
"56",2020-05-09,706,16583
"57",2020-05-10,671,17254
"58",2020-05-11,692,17946
"59",2020-05-12,716,18662
"60",2020-05-13,671,19333
"61",2020-05-14,690,20023
"62",2020-05-15,675,20698
"63",2020-05-16,664,21362
"64",2020-05-17,660,22022
"65",2020-05-18,684,22706
"66",2020-05-19,658,23364
"67",2020-05-20,596,23960
"68",2020-05-21,609,24569
"69",2020-05-22,670,25239
"70",2020-05-23,591,25830
"71",2020-05-24,543,26373
"72",2020-05-25,608,26981
"73",2020-05-26,517,27498
"74",2020-05-27,495,27993
"75",2020-05-28,475,28468
"76",2020-05-29,486,28954
"77",2020-05-30,445,29399
"78",2020-05-31,426,29825
"79",2020-06-01,451,30276
"80",2020-06-02,385,30661
"81",2020-06-03,357,31018
"82",2020-06-04,359,31377
"83",2020-06-05,272,31649
"84",2020-06-06,287,31936
"85",2020-06-07,188,32124
"86",2020-06-08,117,32241
"87",2020-06-09,28,32269
"88",NA,212,32481
