"","dt_evoluca","N","Cum"
"1",2020-03-12,1,1
"2",2020-03-15,1,2
"3",2020-03-16,3,5
"4",2020-03-17,4,9
"5",2020-03-18,8,17
"6",2020-03-19,10,27
"7",2020-03-20,18,45
"8",2020-03-21,15,60
"9",2020-03-22,21,81
"10",2020-03-23,36,117
"11",2020-03-24,38,155
"12",2020-03-25,43,198
"13",2020-03-26,56,254
"14",2020-03-27,62,316
"15",2020-03-28,76,392
"16",2020-03-29,71,463
"17",2020-03-30,92,555
"18",2020-03-31,114,669
"19",2020-04-01,116,785
"20",2020-04-02,138,923
"21",2020-04-03,161,1084
"22",2020-04-04,186,1270
"23",2020-04-05,195,1465
"24",2020-04-06,181,1646
"25",2020-04-07,213,1859
"26",2020-04-08,197,2056
"27",2020-04-09,201,2257
"28",2020-04-10,240,2497
"29",2020-04-11,241,2738
"30",2020-04-12,286,3024
"31",2020-04-13,306,3330
"32",2020-04-14,288,3618
"33",2020-04-15,332,3950
"34",2020-04-16,342,4292
"35",2020-04-17,356,4648
"36",2020-04-18,389,5037
"37",2020-04-19,434,5471
"38",2020-04-20,480,5951
"39",2020-04-21,457,6408
"40",2020-04-22,563,6971
"41",2020-04-23,602,7573
"42",2020-04-24,643,8216
"43",2020-04-25,675,8891
"44",2020-04-26,682,9573
"45",2020-04-27,711,10284
"46",2020-04-28,788,11072
"47",2020-04-29,815,11887
"48",2020-04-30,828,12715
"49",2020-05-01,844,13559
"50",2020-05-02,853,14412
"51",2020-05-03,910,15322
"52",2020-05-04,937,16259
"53",2020-05-05,1000,17259
"54",2020-05-06,930,18189
"55",2020-05-07,952,19141
"56",2020-05-08,1019,20160
"57",2020-05-09,1012,21172
"58",2020-05-10,1019,22191
"59",2020-05-11,1014,23205
"60",2020-05-12,1066,24271
"61",2020-05-13,1056,25327
"62",2020-05-14,1093,26420
"63",2020-05-15,1018,27438
"64",2020-05-16,1010,28448
"65",2020-05-17,1040,29488
"66",2020-05-18,1040,30528
"67",2020-05-19,1054,31582
"68",2020-05-20,971,32553
"69",2020-05-21,1035,33588
"70",2020-05-22,1107,34695
"71",2020-05-23,983,35678
"72",2020-05-24,883,36561
"73",2020-05-25,1047,37608
"74",2020-05-26,904,38512
"75",2020-05-27,959,39471
"76",2020-05-28,931,40402
"77",2020-05-29,975,41377
"78",2020-05-30,914,42291
"79",2020-05-31,850,43141
"80",2020-06-01,927,44068
"81",2020-06-02,899,44967
"82",2020-06-03,883,45850
"83",2020-06-04,909,46759
"84",2020-06-05,847,47606
"85",2020-06-06,901,48507
"86",2020-06-07,790,49297
"87",2020-06-08,843,50140
"88",2020-06-09,819,50959
"89",2020-06-10,871,51830
"90",2020-06-11,821,52651
"91",2020-06-12,843,53494
"92",2020-06-13,859,54353
"93",2020-06-14,797,55150
"94",2020-06-15,818,55968
"95",2020-06-16,872,56840
"96",2020-06-17,858,57698
"97",2020-06-18,796,58494
"98",2020-06-19,810,59304
"99",2020-06-20,793,60097
"100",2020-06-21,791,60888
"101",2020-06-22,839,61727
"102",2020-06-23,769,62496
"103",2020-06-24,801,63297
"104",2020-06-25,789,64086
"105",2020-06-26,749,64835
"106",2020-06-27,752,65587
"107",2020-06-28,775,66362
"108",2020-06-29,842,67204
"109",2020-06-30,794,67998
"110",2020-07-01,776,68774
"111",2020-07-02,826,69600
"112",2020-07-03,742,70342
"113",2020-07-04,773,71115
"114",2020-07-05,814,71929
"115",2020-07-06,774,72703
"116",2020-07-07,814,73517
"117",2020-07-08,794,74311
"118",2020-07-09,804,75115
"119",2020-07-10,782,75897
"120",2020-07-11,745,76642
"121",2020-07-12,859,77501
"122",2020-07-13,829,78330
"123",2020-07-14,826,79156
"124",2020-07-15,813,79969
"125",2020-07-16,799,80768
"126",2020-07-17,823,81591
"127",2020-07-18,756,82347
"128",2020-07-19,800,83147
"129",2020-07-20,748,83895
"130",2020-07-21,823,84718
"131",2020-07-22,803,85521
"132",2020-07-23,722,86243
"133",2020-07-24,762,87005
"134",2020-07-25,754,87759
"135",2020-07-26,710,88469
"136",2020-07-27,729,89198
"137",2020-07-28,709,89907
"138",2020-07-29,732,90639
"139",2020-07-30,701,91340
"140",2020-07-31,664,92004
"141",2020-08-01,646,92650
"142",2020-08-02,597,93247
"143",2020-08-03,604,93851
"144",2020-08-04,596,94447
"145",2020-08-05,538,94985
"146",2020-08-06,456,95441
"147",2020-08-07,378,95819
"148",2020-08-08,291,96110
"149",2020-08-09,220,96330
"150",2020-08-10,61,96391
