"","dt_evoluca","N","Cum"
"1",2020-03-12,1,1
"2",2020-03-15,1,2
"3",2020-03-16,3,5
"4",2020-03-17,4,9
"5",2020-03-18,8,17
"6",2020-03-19,10,27
"7",2020-03-20,18,45
"8",2020-03-21,15,60
"9",2020-03-22,21,81
"10",2020-03-23,37,118
"11",2020-03-24,37,155
"12",2020-03-25,41,196
"13",2020-03-26,56,252
"14",2020-03-27,62,314
"15",2020-03-28,75,389
"16",2020-03-29,72,461
"17",2020-03-30,92,553
"18",2020-03-31,113,666
"19",2020-04-01,114,780
"20",2020-04-02,136,916
"21",2020-04-03,162,1078
"22",2020-04-04,184,1262
"23",2020-04-05,193,1455
"24",2020-04-06,182,1637
"25",2020-04-07,212,1849
"26",2020-04-08,195,2044
"27",2020-04-09,200,2244
"28",2020-04-10,241,2485
"29",2020-04-11,236,2721
"30",2020-04-12,289,3010
"31",2020-04-13,307,3317
"32",2020-04-14,282,3599
"33",2020-04-15,331,3930
"34",2020-04-16,336,4266
"35",2020-04-17,349,4615
"36",2020-04-18,382,4997
"37",2020-04-19,431,5428
"38",2020-04-20,473,5901
"39",2020-04-21,463,6364
"40",2020-04-22,557,6921
"41",2020-04-23,589,7510
"42",2020-04-24,640,8150
"43",2020-04-25,665,8815
"44",2020-04-26,678,9493
"45",2020-04-27,694,10187
"46",2020-04-28,775,10962
"47",2020-04-29,804,11766
"48",2020-04-30,812,12578
"49",2020-05-01,833,13411
"50",2020-05-02,840,14251
"51",2020-05-03,891,15142
"52",2020-05-04,923,16065
"53",2020-05-05,981,17046
"54",2020-05-06,918,17964
"55",2020-05-07,930,18894
"56",2020-05-08,989,19883
"57",2020-05-09,997,20880
"58",2020-05-10,994,21874
"59",2020-05-11,989,22863
"60",2020-05-12,1023,23886
"61",2020-05-13,1016,24902
"62",2020-05-14,1065,25967
"63",2020-05-15,935,26902
"64",2020-05-16,941,27843
"65",2020-05-17,958,28801
"66",2020-05-18,983,29784
"67",2020-05-19,966,30750
"68",2020-05-20,910,31660
"69",2020-05-21,954,32614
"70",2020-05-22,1016,33630
"71",2020-05-23,914,34544
"72",2020-05-24,848,35392
"73",2020-05-25,1003,36395
"74",2020-05-26,872,37267
"75",2020-05-27,905,38172
"76",2020-05-28,890,39062
"77",2020-05-29,926,39988
"78",2020-05-30,850,40838
"79",2020-05-31,808,41646
"80",2020-06-01,890,42536
"81",2020-06-02,860,43396
"82",2020-06-03,835,44231
"83",2020-06-04,845,45076
"84",2020-06-05,787,45863
"85",2020-06-06,856,46719
"86",2020-06-07,743,47462
"87",2020-06-08,794,48256
"88",2020-06-09,761,49017
"89",2020-06-10,803,49820
"90",2020-06-11,775,50595
"91",2020-06-12,785,51380
"92",2020-06-13,785,52165
"93",2020-06-14,733,52898
"94",2020-06-15,765,53663
"95",2020-06-16,805,54468
"96",2020-06-17,792,55260
"97",2020-06-18,718,55978
"98",2020-06-19,726,56704
"99",2020-06-20,728,57432
"100",2020-06-21,741,58173
"101",2020-06-22,755,58928
"102",2020-06-23,702,59630
"103",2020-06-24,730,60360
"104",2020-06-25,712,61072
"105",2020-06-26,660,61732
"106",2020-06-27,680,62412
"107",2020-06-28,703,63115
"108",2020-06-29,744,63859
"109",2020-06-30,699,64558
"110",2020-07-01,686,65244
"111",2020-07-02,739,65983
"112",2020-07-03,645,66628
"113",2020-07-04,667,67295
"114",2020-07-05,709,68004
"115",2020-07-06,691,68695
"116",2020-07-07,677,69372
"117",2020-07-08,679,70051
"118",2020-07-09,673,70724
"119",2020-07-10,620,71344
"120",2020-07-11,607,71951
"121",2020-07-12,679,72630
"122",2020-07-13,652,73282
"123",2020-07-14,604,73886
"124",2020-07-15,587,74473
"125",2020-07-16,524,74997
"126",2020-07-17,486,75483
"127",2020-07-18,436,75919
"128",2020-07-19,431,76350
"129",2020-07-20,346,76696
"130",2020-07-21,170,76866
