"Data","estimate","lower","upper","Boletim ultimo","estimate Cumsum","lower Cumsum","upper Cumsum","Boletim Cumsum"
2020-03-15,1,1,1,1,1,1,1,1
2020-03-16,3,3,3,3,4,4,4,4
2020-03-17,3,3,3,3,7,7,7,7
2020-03-18,5,5,6,5,12,12,13,12
2020-03-19,7,7,8,7,19,19,21,19
2020-03-20,14,14,17,14,33,33,38,33
2020-03-21,14,13,17,13,47,46,55,46
2020-03-22,19,17,24,17,66,63,79,63
2020-03-23,41,38,48,38,107,101,127,101
2020-03-24,35,31,41,31,142,132,168,132
2020-03-25,36,33,44,32,178,165,212,164
2020-03-26,49,44,57,43,227,209,269,207
2020-03-27,59,54,70,52,286,263,339,259
2020-03-28,73,67,87,64,359,330,426,323
2020-03-29,74,67,89,62,433,397,515,385
2020-03-30,103,94,121,85,536,491,636,470
2020-03-31,106,97,124,88,642,588,760,558
2020-04-01,119,108,141,98,761,696,901,656
2020-04-02,132,120,155,107,893,816,1056,763
2020-04-03,157,143,184,126,1050,959,1240,889
2020-04-04,179,163,209,141,1229,1122,1449,1030
2020-04-05,188,171,220,145,1417,1293,1669,1175
2020-04-06,203,184,236.025,154,1620,1477,1905.025,1329
2020-04-07,217,198,253,163,1837,1675,2158.025,1492
2020-04-08,223,202,258,164,2060,1877,2416.025,1656
2020-04-09,189,169,222,134,2249,2046,2638.025,1790
2020-04-10,253,229,293.025,181,2502,2275,2931.05,1971
2020-04-11,238,213,278,161,2740,2488,3209.05,2132
2020-04-12,297,269,344,200,3037,2757,3553.05,2332
2020-04-13,313,284,364,206,3350,3041,3917.05,2538
2020-04-14,296,266,344,188,3646,3307,4261.05,2726
2020-04-15,323,290,376,200,3969,3597,4637.05,2926
2020-04-16,328,295,384,197,4297,3892,5021.05,3123
2020-04-17,332,297,388,192,4629,4189,5409.05,3315
2020-04-18,371,331,432,208,5000,4520,5841.05,3523
2020-04-19,359,319,423,189,5359,4839,6264.05,3712
2020-04-20,440,392,515,225,5799,5231,6779.05,3937
2020-04-21,421,373,494,200,6220,5604,7273.05,4137
2020-04-22,447,395,525,202,6667,5999,7798.05,4339
2020-04-23,464,408,543,198,7131,6407,8341.05,4537
2020-04-24,453,394,535,177,7584,6801,8876.05,4714
2020-04-25,481,417.975,568,169,8065,7218.975,9444.05,4883
2020-04-26,592,514.975,697,194,8657,7733.95,10141.05,5077
2020-04-27,558,480,663,156,9215,8213.95,10804.05,5233
2020-04-28,661,569,790,168,9876,8782.95,11594.05,5401
2020-04-29,622,527,749,129,10498,9309.95,12343.05,5530
2020-04-30,555,456,680,83,11053,9765.95,13023.05,5613
2020-05-01,588,471,738,63,11641,10236.95,13761.05,5676
2020-05-02,550,411,742,31,12191,10647.95,14503.05,5707
2020-05-03,493,307,766.025,2,12684,10954.95,15269.075,5709
