"Data","estimate","lower","upper","Boletim ultimo","estimate Cumsum","lower Cumsum","upper Cumsum","Boletim Cumsum"
2020-03-15,1,1,1,1,1,1,1,1
2020-03-16,3,3,4,3,4,4,5,4
2020-03-17,3,3,4,3,7,7,9,7
2020-03-18,5,5,7,5,12,12,16,12
2020-03-19,7,7,9,7,19,19,25,19
2020-03-20,13,12,15,13,32,31,40,32
2020-03-21,13,12,16,12,45,43,56,44
2020-03-22,16,15,20,16,61,58,76,60
2020-03-23,34,31,38,34,95,89,114,94
2020-03-24,33,29,37,29,128,118,151,123
2020-03-25,33,30,38,29,161,148,189,152
2020-03-26,41,37,47,37,202,185,236,189
2020-03-27,50,45,56,48,252,230,292,237
2020-03-28,63,57,71,56,315,287,363,293
2020-03-29,64,58,73,61,379,345,436,354
2020-03-30,85,78,95,73,464,423,531,427
2020-03-31,99,90,110,84,563,513,641,511
2020-04-01,102,93,114,86,665,606,755,597
2020-04-02,127,115,140,102,792,721,895,699
2020-04-03,143,130,158,117,935,851,1053,816
2020-04-04,156,142,172,136,1091,993,1225,952
2020-04-05,172,157,191,133,1263,1150,1416,1085
2020-04-06,166,151,185,129,1429,1301,1601,1214
2020-04-07,192,174,213,140,1621,1475,1814,1354
2020-04-08,189,172,211,146,1810,1647,2025,1500
2020-04-09,167,149,188,121,1977,1796,2213,1621
2020-04-10,213,192,239,150,2190,1988,2452,1771
2020-04-11,202,181,228,139,2392,2169,2680,1910
2020-04-12,252,227,283,171,2644,2396,2963,2081
2020-04-13,271,242,305,178,2915,2638,3268,2259
2020-04-14,239,211,272,145,3154,2849,3540,2404
2020-04-15,252,222,287,150,3406,3071,3827,2554
2020-04-16,193,166.975,225,120,3599,3237.975,4052,2674
2020-04-17,221,191,256,137,3820,3428.975,4308,2811
2020-04-18,230,198,269,151,4050,3626.975,4577,2962
2020-04-19,194,162,232,118,4244,3788.975,4809,3080
2020-04-20,225,188,270,121,4469,3976.975,5079,3201
2020-04-21,188,151,231,106,4657,4127.975,5310,3307
2020-04-22,163,128,208,108,4820,4255.975,5518,3415
2020-04-23,68,44,101,94,4888,4299.975,5619,3509
2020-04-24,40,17,74,55,4928,4316.975,5693,3564
2020-04-25,40,15,87,23,4968,4331.975,5780,3587
